WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
ABT,abt,N,0.2,0.632455532,1.526315789,0.696692268,5.888888889,1.364225462,3,3,1,13.16666667,6,1190.5,4,1180.83,60877,1
ABTEI,abtei,N,0,0.816496581,1.842105263,0.834210065,5.444444444,1.509230856,5,4,2,4,1,0,0,0,254738,1
ABTEIL,abteil,N,-0.15,0.933302,2.117647059,0.857492926,4.13636364,1.64158618,6,5,2,3.5,1,95.67,1,95.67,214264.4,2
ABWASSER,abwasser,N,-1.2,0.421637021,2.5,1.248528546,5.333333333,0.707106781,8,7,3,3.666666667,0,0,0,0,301670,1
ABWEG,abweg,N,-0.95,0.68633274,2.523809524,0.872871561,2.40909091,1.18156841,5,5,2,1,0,0,0,0,96556.5,1
ABWEHR,abwehr,N,-0.7,1.059349905,3.19047619,0.74960307,3.888888889,1.691481928,6,5,2,26.66666667,1,4.67,0,0,104913.8,1
ABWURF,abwurf,N,-0.3,0.674948558,2.941176471,1.088036548,4.222222222,1.6414763,6,6,2,2.833333333,1,1.17,0,0,44661.6,1
ABZUG,abzug,N,-0.5,0.849836586,2.9375,1.289379696,3.111111111,1.054092553,5,5,2,33.83333333,1,18.33,0,0,60793.75,1
ACHSE,achse,N,0,0.97332853,2.166666667,1.098126747,3.90909091,2.13606427,5,4,2,9.666666667,3,24.5,1,17.17,290803.5,1
ACHSEL,achsel,N,-0.45,0.68633274,2.375,0.957427108,4.77272727,1.54092793,6,5,2,5,1,2.33,0,0,261261.4,1
ACHTEN,achten,V,1.2,0.92,2.368421053,1.065130473,2.22,1.2,6,5,2,28.66666667,4,42,0,0,449723.6,1
ACHTUNG,achtung,N,0.6,1.429840706,3.619047619,1.023532631,1.888888889,0.78173596,7,5,2,20.33333333,0,0,0,0,260997.8333,1
ADEL,adel,N,-0.3,0.948683298,2.555555556,0.704792186,4.111111111,1.536590743,4,4,2,14,2,22.83,1,17.83,365827.3333,1
ADELN,adeln,V,0.4,0.52,2.4,1.142481141,3,1.32,5,5,2,1,0,0,0,0,277971,1
ADJUTANT,adjutant,N,-0.3,0.483045892,3.176470588,1.074435556,5,1.732050808,8,8,3,2.833333333,0,0,0,0,71233.71429,3
ADLER,adler,N,1.25,0.96654567,2.444444444,0.983524408,5.81818182,1.25873571,5,5,2,7,0,0,0,0,421151.25,1
ADOPTION,adoption,N,0,1.054092553,2.888888889,1.078609611,3.111111111,1.536590743,8,8,4,1,0,0,0,0,49698.57143,4
ADRESSAT,adressat,N,0.1,0.316227766,2,0.935414347,2.666666667,0.866025404,8,7,3,2,0,0,0,0,91584.14286,3
ADRIA,adria,N,1.4,0.966091783,2.666666667,1.283377896,5.222222222,1.787300882,5,5,3,4.666666667,1,0,0,0,34764,1
ADVENT,advent,N,1.05,1.14593102,1.736842105,0.805681579,4.86363636,1.55212464,6,6,2,0.666666667,0,0,0,0,251362,2
AFFE,affe,N,1,1.45,3,1.41,6.18,1.01,4,3,2,6.67,0,0,0,0,43480.66667,1
AFFEKT,affekt,N,0,0.816496581,3.625,0.957427108,1.888888889,0.927960727,6,5,2,5.333333333,1,14,1,14,35754,2
AGENT,agent,N,0.45,1.19097483,2.944444444,0.998364676,4.40909091,1.40268759,5,5,2,18.33333333,1,1,0,0,381836.75,2
AGGRESSION,aggression,N,-1.764705882,1.304045536,4.333333333,0.795822426,4.961538462,1.482720991,10,8,4,30.66666667,0,0,0,0,103446.3333,4
AGIL,agil,A,1,0.82,2.315789474,1.108183277,3.67,1.32,4,4,2,1,1,2,1,2,46129,2
AHNEN,ahnen,V,0.294117647,0.938387132,2.633333333,1.033351872,2.807692308,1.918733557,5,4,2,31.83333333,1,1.17,0,0,326128,1
AHNUNG,ahnung,N,0.7,1.059349905,3,1.183215957,1.444444444,0.726483157,6,4,2,21.83333333,0,0,0,0,142064.6,1
AHORN,ahorn,N,1.3,0.97872097,1.722222222,0.894792487,5.31818182,1.58524036,5,5,2,0.5,0,0,0,0,59316.25,1
AKADEMIE,akademie,N,0.588235294,1.208997758,3.142857143,1.062342425,4,1.720465053,8,7,4,35.66666667,0,0,0,0,204509.7143,4
AKRIBIE,akribie,N,-0.7,0.674948558,2.421052632,0.837707817,2.333333333,1.58113883,7,6,3,0.833333333,0,0,0,0,78962.83333,3
